序号,计划时间,航班号,航空公司,航站楼,值机区域,目的地,计划到达时间
1,06:15,MU9007,中国东方航空公司,浦东(T1),A,揭阳 潮汕,08:17:00
2,06:20,MU6211 MF7398,中国东方航空公司,浦东(T1),B,银川,09:26:00
3,06:20,MU6445 HO5663 MF7518,中国东方航空公司,浦东(T1),B,泉州 晋江,08:01:00
4,06:25,CA8301 NZ3737 SC5159 ZH4601,中国国际航空公司,浦东(T2),K,哈尔滨,08:41:00
5,06:25,FM9131 MU8573,上海航空公司,浦东(T1),D,包头,09:39:00
6,06:25,FM9271 MU8399,上海航空公司,浦东(T1),D,西宁,09:42:00
7,06:30,MU5637 HO5552,中国东方航空公司,浦东(T1),B,邯郸,08:28:00
8,06:35,9C7635,中国春秋航空公司,浦东(T2),M,沈阳 桃仙,08:34:00
9,06:35,9C6531,中国春秋航空公司,虹桥(T1),1,绵阳,09:25:00
10,06:35,FM9241 MU8379,上海航空公司,虹桥(T2),B,烟台,08:25:00
11,06:35,MU5633 3U5257 HO5546 MF3889,中国东方航空公司,虹桥(T2),B,乌鲁木齐,12:00:00
12,06:40,HO1157 3U4411 CZ096 MF7626 MU3626 ZH5027,吉祥航空公司,虹桥(T2),E,珠海,09:15:00
13,06:40,FM9291,上海航空公司,浦东(T1),A,揭阳 潮汕,08:57:00
14,06:40,9C8917,中国春秋航空公司,虹桥(T1),1,深圳,08:55:00
15,06:40,HO1075 MU3700,吉祥航空公司,浦东(T2),L,青岛,07:50:00
16,06:40,MU5459 HO5690 MF3784,中国东方航空公司,虹桥(T2),B,呼和浩特,09:30:00
17,06:40,CZ6438 3U1624 HO7567 MF4086,中国南方航空公司,浦东(T2),B,哈尔滨,09:40:00
18,06:45,CA8535 NZ3729 ZH4821,中国国际航空公司,浦东(T2),K,兰州,09:39:00
19,06:45,FM9463 MU8513,上海航空公司,虹桥(T2),B,贵阳,09:30:00
20,06:45,MU9017,中国东方航空公司,浦东(T1),B,桂林,09:08:00
21,06:45,FM9339,上海航空公司,虹桥(T2),B,南宁,09:50:00
22,06:45,MU2335 JL5691 QF4015,中国东方航空公司,浦东(T1),B,西安 咸阳,09:17:00
23,06:45,CZ5791 3U1445 GJ3129 HO7515 MF1796,中国南方航空公司,浦东(T2),B,西安 咸阳,11:19:00
24,06:50,FM9263 MU8393,上海航空公司,虹桥(T2),B,厦门,08:40:00
25,06:50,MU5203 HO5474 MF3602,中国东方航空公司,浦东(T1),B,柳州,09:23:00
26,06:50,FM9229 MU8373,上海航空公司,虹桥(T2),B,青岛,08:30:00
27,06:50,9C6517,中国春秋航空公司,虹桥(T1),1,石家庄,09:00:00
28,06:50,Y87507,金鹏航空,浦东(T2),A,哈尔滨,09:35:00
29,06:50,Y87557,金鹏航空,浦东(T2),A,大连,08:40:00
