序号,航班号,航空公司,目的地/经停地,出发地,航司电话,计划出发时间,计划到达时间,到达航站楼
1,HO1034,吉祥航空公司,上海 浦东,景洪 嘎洒,95520,20:25:00,00:05:00,浦东(T2)
2,MU5690 HO5521 MF3924,中国东方航空公司,上海 浦东,呼和浩特,95530,21:15:00,00:10:00,浦东(T1)
3,MU6566 KN6185,中国东方航空公司,上海 浦东,东胜,95530,21:35:00,00:15:00,浦东(T1)
4,MU6404 DL6427 HO5519 MF7493,中国东方航空公司,上海 浦东,桂林,95530,21:45:00,00:15:00,浦东(T1)
5,MU6478 HO5485 MF7529,中国东方航空公司,上海 浦东,山西 运城,95530,21:45:00,00:15:00,浦东(T1)
6,FM9240 MU8378,上海航空公司,上海 浦东,临沂,95530,22:45:00,00:20:00,浦东(T1)
7,CZ3586 HO7440 MF1386,中国南方航空公司,上海 浦东,广州 白云,4006695539,22:09:00,00:20:00,浦东(T2)
8,HO1152 AY3176,吉祥航空公司,上海 浦东,桂林,95520,22:00:00,00:25:00,浦东(T2)
9,HO1026,吉祥航空公司,上海 浦东,邢台,95520,22:00:00,00:25:00,浦东(T2)
10,MU5268 3U5176 HO5409 MF3639 QF4030,中国东方航空公司,上海 浦东,宜宾,95530,21:25:00,00:25:00,浦东(T1)
11,Y87512,金鹏航空,上海 浦东,西安 咸阳,950719,22:32:00,00:25:00,浦东(T2)
12,MU9703 HO5610 MF2284,中国东方航空公司,上海 浦东,大理,95530,20:40:00,00:30:00,浦东(T1)
13,HO1022,吉祥航空公司,上海 浦东,汉中,95520,22:10:00,00:30:00,浦东(T2)
14,HO1028,吉祥航空公司,上海 浦东,乌兰浩特,95520,21:20:00,00:35:00,浦东(T2)
15,CA8570 SC5454 ZH4848,中国国际航空公司,上海 浦东,桂林,95583,22:22:47,00:35:00,浦东(T2)
16,FM9124 MU8342,上海航空公司,上海 浦东,唐山,95530,22:25:00,00:40:00,浦东(T1)
17,CA8330 SC5434 ZH4762,中国国际航空公司,上海 浦东,佳木斯,95583,21:30:00,00:45:00,浦东(T2)
18,9C8982,中国春秋航空公司,上海 浦东,大连,95524,22:45:00,00:45:00,浦东(T2)
19,9C6224,中国春秋航空公司,上海 浦东,揭阳 潮汕,95524,21:48:00,01:00:00,浦东(T2)
20,9C6340,中国春秋航空公司,上海 浦东,银川,95524,22:10:00,01:05:00,浦东(T2)
21,MU6400 HO5715,中国东方航空公司,上海 浦东,北海,95530,22:25:00,01:05:00,浦东(T1)
22,FM9466 MU8506,上海航空公司,上海 浦东,昆明,95530,22:05:00,01:10:00,浦东(T1)
23,9C6618,中国春秋航空公司,上海 浦东,丽江,95524,21:40:00,01:10:00,浦东(T2)
24,FM9360 DL6558 MU8448,上海航空公司,上海 浦东,湛江,95530,22:05:00,01:10:00,浦东(T1)
