序号,航班号,航空公司,目的地/经停地,出发地,航司电话,计划出发时间,计划到达时间,到达航站楼
601,MU5652 HO5585 MF3898,中国东方航空公司,上海 浦东,延吉,95530,18:10:00,21:20:00,浦东(T1-S1)
602,FM9232 MU8376,上海航空公司,上海 虹桥,烟台,95530,19:37:00,21:25:00,虹桥(T2)
603,MU5190 HO5512 MF3593,中国东方航空公司,上海 虹桥,长沙市,95530,19:34:00,21:25:00,虹桥(T2)
604,3U8203,四川航空公司,上海 浦东,昆明,4008-300-999,18:34:00,21:25:00,浦东(T2-S2)
605,MU2536 HO5723,中国东方航空公司,上海 浦东,沙市,95530,19:51:00,21:30:00,浦东(T1-S1)
606,HO1188,吉祥航空公司,上海 浦东,沈阳 桃仙,95520,18:58:00,21:30:00,浦东(T2)
607,MU5692 HO5497 MF3926,中国东方航空公司,上海 虹桥,银川,95530,19:34:00,21:35:00,虹桥(T2)
608,MU5494 AF5208 HO5419 MF3799 QF4019,中国东方航空公司,上海 浦东,重庆,95530,19:11:00,21:35:00,浦东(T1)
609,CZ8803 3U2021 HO7675 MF4665,中国南方航空公司,上海 虹桥,北京 大兴,4006695539,19:30:00,21:40:00,虹桥(T2)
610,FM9212,上海航空公司,上海 浦东,兰州,95530,19:58:00,21:40:00,浦东(T1-S1)
611,MU6628 AF5237 HO5560 MF7585 QF4274,中国东方航空公司,上海 浦东,烟台,95530,20:04:00,21:40:00,浦东(T1)
612,MU5440 G58510 HO5504 MF3771,中国东方航空公司,上海 虹桥,天津,95530,19:51:00,21:45:00,虹桥(T2)
613,MU2336,中国东方航空公司,上海 虹桥,西安 咸阳,95530,19:38:00,21:50:00,虹桥(T2)
614,CA1563 SC5388 UA7575 ZH1563,中国国际航空公司,上海 虹桥,北京 首都,95583,19:50:00,21:50:00,虹桥(T2)
615,CA8576 NZ3742 SC5442 ZH4854,中国国际航空公司,上海 浦东,长春,95583,19:03:00,21:50:00,浦东(T2)
616,MU6294 HO5477,中国东方航空公司,上海 浦东,大庆,95530,18:58:00,21:50:00,浦东(T1)
617,ZH9539 CA3727 KY9327 SC9373 SC9509,深圳航空公司,上海 虹桥,景德镇,95361,20:15:00,21:55:00,虹桥(T2)
618,9C7606,中国春秋航空公司,上海 浦东,景洪 嘎洒,95524,18:28:00,21:55:00,浦东(T2-S2)
619,MU9194,中国东方航空公司,上海 虹桥,重庆,95530,19:40:00,21:55:00,虹桥(T2)
620,MU5164 AF7863 HO5540 MF3575 QF4008,中国东方航空公司,上海 浦东,北京 首都,95530,19:36:00,21:55:00,浦东(T1-S1)
621,9C7116,中国春秋航空公司,上海 浦东,丽江,95524,18:36:00,21:55:00,浦东(T2-S2)
622,MF8551 3U2645 CZ4446 G59167 HO7286 MU4856 NS8551,厦门航空有限公司,上海 虹桥,天津,95557,20:06:00,21:55:00,虹桥(T1)
623,MU5700 3U5268 HO5430 MF3928,中国东方航空公司,上海 虹桥,乌鲁木齐,95530,17:28:00,21:55:00,虹桥(T2)
624,HO1256 3U4454 CA3284 CZ159 MF7621 MU3621 ZH5022,吉祥航空公司,上海 虹桥,乌鲁木齐,95520,17:01:00,22:00:00,虹桥(T2)
625,MU5660 3U5264 HO5452 MF3902,中国东方航空公司,上海 浦东,西昌,95530,18:55:00,22:00:00,浦东(T1)
626,FM9300 MU8340,上海航空公司,上海 虹桥,揭阳 潮汕,95530,19:56:00,22:00:00,虹桥(T2)
627,MU5588 AF9285 EY5712 HO5564 KL8823 MF3807 QF4295,中国东方航空公司,上海 浦东,福州,95530,20:28:00,22:00:00,浦东(T1)
628,MU5622 EY5700 HO5461 MF3885,中国东方航空公司,上海 浦东,大连,95530,20:34:00,22:00:00,浦东(T1)
629,FM9128 MU8346,上海航空公司,上海 虹桥,呼和浩特,95530,19:31:00,22:05:00,虹桥(T2)
630,FM9358 MU8454,上海航空公司,上海 虹桥,珠海,95530,19:47:00,22:05:00,虹桥(T2)
631,MU2470 HO5725 MF3237,中国东方航空公司,上海 虹桥,武汉 天河,95530,20:32:00,22:10:00,虹桥(T2)
632,CA8580 ZH4260,中国国际航空公司,上海 浦东,深圳,95583,19:48:00,22:10:00,浦东(T2-S2)
633,MU5126 MF3543,中国东方航空公司,上海 虹桥,北京 首都,95530,23:09:00,22:10:00,虹桥(T2)
634,HO1254 3U4452 CA3282 CZ157 MF7645 MU3645 ZH5046,吉祥航空公司,上海 虹桥,北京 大兴,95520,20:10:00,22:10:00,虹桥(T2)
635,MU5130 CZ1957 KL8812 KN6027 MF3547 QF4002 SV6844,中国东方航空公司,上海 浦东,北京 大兴,95530,19:45:00,22:10:00,浦东(T1-S1)
636,9C6446,中国春秋航空公司,上海 浦东,广元,95524,19:42:00,22:15:00,浦东(T2-S2)
637,MU6562 AF5244 MF7561 QF4005,中国东方航空公司,上海 浦东,哈尔滨,95530,19:13:00,22:20:00,浦东(T1-S1)
638,9C8936,中国春秋航空公司,上海 浦东,长春,95524,19:30:00,22:20:00,浦东(T2-S2)
639,CZ3595 3U1241 HO7449 MF1395,中国南方航空公司,上海 虹桥,广州 白云,4006695539,20:20:00,22:20:00,虹桥(T2)
640,FM9320 MU8422,上海航空公司,上海 浦东,广州 白云,95530,20:23:00,22:20:00,浦东(T1)
641,MU9030,中国东方航空公司,上海 浦东,石家庄,95530,19:57:00,22:20:00,浦东(T1)
642,CZ3589 HO7443 MF1389,中国南方航空公司,上海 虹桥,深圳,4006695539,20:05:00,22:20:00,虹桥(T2)
643,9C8950,中国春秋航空公司,上海 虹桥,深圳,95524,20:21:00,22:25:00,虹桥(T1)
644,FM9086 MU8322,上海航空公司,上海 虹桥,沈阳 桃仙,95530,19:48:00,22:25:00,虹桥(T2)
645,9C6290,中国春秋航空公司,上海 虹桥,兰州,95524,21:20:00,22:25:00,虹桥(T1)
646,MU5636 HO5479,中国东方航空公司,上海 浦东,北海,95530,19:18:00,22:25:00,浦东(T1)
647,MU5420 3U5206 HO5353 MF3755,中国东方航空公司,上海 虹桥,成都 双流,95530,19:58:00,22:25:00,虹桥(T2)
648,FM9204 MU8360,上海航空公司,上海 虹桥,西安 咸阳,95530,20:01:00,22:25:00,虹桥(T2)
649,MU6412 HO5467 MF7499,中国东方航空公司,上海 虹桥,西宁,95530,19:28:00,22:25:00,虹桥(T2)
650,MU5684 AF5247 EY5725 MF3920 QF4037,中国东方航空公司,上海 浦东,大连,95530,20:26:00,22:30:00,浦东(T1-S1)
651,HO1084 3U4370 CZ047 MF7649 MU3649 ZH5050,吉祥航空公司,上海 虹桥,昆明,95520,19:48:00,22:30:00,虹桥(T2)
652,9C6532,中国春秋航空公司,上海 虹桥,绵阳,95524,20:05:00,22:30:00,虹桥(T1)
653,CZ6509 BA2027 HO7586 MF4139,中国南方航空公司,上海 浦东,沈阳 桃仙,4006695539,19:48:00,22:35:00,浦东(T2-S2)
654,CA8686 SC5410 ZH4934,中国国际航空公司,上海 浦东,北京 大兴,95583,20:34:00,22:35:00,浦东(T2)
655,CZ6373 3U1595 BA2017 HO7558,中国南方航空公司,上海 浦东,长春,4006695539,19:40:00,22:35:00,浦东(T2-S2)
656,MU5384 3U5188 HO5415 MF3727,中国东方航空公司,上海 浦东,遵义,95530,20:20:00,22:35:00,浦东(T1-S1)
657,MF8517 3U2613 CZ4416 G59453 HO7254 MU4836 NS8517,厦门航空有限公司,上海 虹桥,厦门,95557,21:12:00,22:40:00,虹桥(T1)
658,9C8846,中国春秋航空公司,上海 虹桥,西安 咸阳,95524,20:44:00,22:40:00,虹桥(T1)
659,FM9328,上海航空公司,上海 虹桥,郑州,95530,21:08:00,22:40:00,虹桥(T2)
660,MU6356 HO5510 MF7473,中国东方航空公司,上海 虹桥,长春,95530,20:07:00,22:40:00,虹桥(T2)
661,CA8552 NZ3712 SC5498 ZH4836,中国国际航空公司,上海 浦东,成都 双流,95583,20:31:00,22:40:00,浦东(T2)
662,MU6338 HO5528 MF7463,中国东方航空公司,上海 虹桥,哈尔滨,95530,19:26:00,22:40:00,虹桥(T2)
663,HO1082 CA3230 CZ045 MF7633 MU3633 ZH5034,吉祥航空公司,上海 虹桥,海口,95520,19:59:00,22:40:00,虹桥(T2)
664,CA1883 NZ3821 SC5406 ZH1883,中国国际航空公司,上海 浦东,北京 首都,95583,20:38:00,22:40:00,浦东(T2-S2)
665,CA1589 SC5392 ZH1589,中国国际航空公司,上海 虹桥,北京 首都,95583,20:40:00,22:40:00,虹桥(T2)
666,FM9468,上海航空公司,上海 浦东,贵阳,95530,20:15:00,22:40:00,浦东(T1)
667,MU5512,中国东方航空公司,上海 浦东,青岛,95530,21:01:00,22:40:00,浦东(T1)
668,CA8574 SC5162 ZH4852,中国国际航空公司,上海 浦东,海口,95583,20:11:00,22:45:00,浦东(T2)
669,MU5314 HO5381 MF3671,中国东方航空公司,上海 虹桥,广州 白云,95530,20:32:00,22:45:00,虹桥(T2)
670,HO1056,吉祥航空公司,上海 虹桥,大同,95520,20:31:00,22:50:00,虹桥(T2)
671,CA8334 SC5466 ZH4766,中国国际航空公司,上海 浦东,呼和浩特,95583,20:23:00,22:50:00,浦东(T2)
672,9C6476,中国春秋航空公司,上海 虹桥,衡阳,95524,21:08:00,22:50:00,虹桥(T1)
673,MU5612 HO5513 MF3879,中国东方航空公司,上海 浦东,哈尔滨,95530,20:05:00,22:50:00,浦东(T1)
674,MU6368 AF5239 EY5737 QF4276,中国东方航空公司,上海 浦东,济南,95530,21:10:00,22:50:00,浦东(T1-S1)
675,MU9018,中国东方航空公司,上海 浦东,桂林,95530,20:17:00,22:50:00,浦东(T1)
676,MF8858 3U2764 CZ4565 G59728 MU4897 NS8858,厦门航空有限公司,上海 虹桥,泸州,95557,20:18:00,22:55:00,虹桥(T1)
677,FM9338,上海航空公司,上海 虹桥,南宁,95530,20:37:00,22:55:00,虹桥(T2)
